State,State,District,Women,Men,Households with an improved drinking water source1,Households with electricity,Households using improved sanitation facility2,Households using clean fuel for cooking3
MZ,Mizoram,Kolasib,1660,231,97.2,99,87.5,71.5
MZ,Mizoram,Lawngtlai,982,117,74.6,74.3,65.3,38.7
MZ,Mizoram,Lunglei,1825,229,94,99.1,77.7,52.2
MZ,Mizoram,Mamit,890,133,84.1,85.7,66.8,37.5
MZ,Mizoram,Saiha,2097,246,92.4,99.4,80.1,58.7
MZ,Mizoram,Serchhip,1770,249,96.5,99.6,92,66.3
NL,Nagaland,Dimapur,1993,222,78.8,98.7,65.3,66.6
NL,Nagaland,Kiphire,806,132,87.2,98.2,80.5,11.1
NL,Nagaland,Kohima,1787,215,79.8,99.4,69.1,55.6
NL,Nagaland,Longleng,786,132,41.2,97.5,73.6,4.8
NL,Nagaland,Mokokchung,644,89,85.9,99.4,91.1,38.3
NL,Nagaland,Mon,967,122,72.4,85.6,81,5.8
NL,Nagaland,Peren,809,119,61,97.3,74.2,16.9
NL,Nagaland,Phek,869,123,94.1,98.4,82.7,9.8
NL,Nagaland,Tuensang,677,87,91.4,97.2,73,9.3
NL,Nagaland,Wokha,637,75,73.4,97.8,72.9,35.9
NL,Nagaland,Zunheboto,815,124,88.7,99.4,81.1,12.8
OR,Orissa,Anugul,1135,144,77.2,87.4,35.6,21.4
OR,Orissa,Balangir,1047,129,94,82.6,14.1,9.2
OR,Orissa,Baleshwar,1012,122,97.7,88.7,37.3,14.2
OR,Orissa,Bargarh,1007,148,95.6,83.5,26.4,13.3
OR,Orissa,Baudh,1050,135,88.8,86.9,16.4,11.5
OR,Orissa,Bhadrak,1017,101,99.4,87.2,23,10.7
OR,Orissa,Cuttack,876,127,91.1,91.6,38.8,31
OR,Orissa,Debagarh,917,110,85.6,81.5,30.9,7.4
OR,Orissa,Dhenkanal,1000,133,58.8,88.7,33.3,21
OR,Orissa,Gajapati,978,134,69.2,87.7,38.2,19.2
OR,Orissa,Ganjam,948,95,90.3,89.4,40.7,34.5
OR,Orissa,Jagatsinghapur,1049,106,96.9,92.9,30.8,12.8
OR,Orissa,Jajapur,1085,150,87.8,93.2,30.7,15.9
OR,Orissa,Jharsuguda,2189,294,91.3,91.8,40.3,28
OR,Orissa,Kalahandi,892,116,93.6,67.1,14.9,7.1
OR,Orissa,Kandhamal,1133,142,61.4,77.6,16.5,6.4
OR,Orissa,Kendrapara,1021,91,98.8,92.4,25.6,13.8
OR,Orissa,Kendujhar,973,108,85.4,75,20.5,16.4
OR,Orissa,Khordha,1822,212,84.6,96.4,47,46.2
OR,Orissa,Koraput,963,130,84.7,76,18.2,19
OR,Orissa,Malkangiri,1022,140,89.3,86,16.7,5.6
OR,Orissa,Mayurbhanj,957,126,81.5,73.9,18.1,9.5
OR,Orissa,Nabarangapur,1191,169,98.4,69,16.1,9.2
OR,Orissa,Nayagarh,975,121,80.2,93.4,31.6,21
OR,Orissa,Nuapada,1092,128,95,82.3,20.2,8.7
OR,Orissa,Puri,1135,144,95,95,40.1,19.9
OR,Orissa,Rayagada,1030,139,91.7,79.1,23.4,17.1
OR,Orissa,Sambalpur,963,116,87.4,87.6,33.7,22.7
OR,Orissa,Subarnapur,1067,146,96.7,89.1,16,12.7
OR,Orissa,Sundargarh,2175,253,89.3,86,37.9,24.6
PB,Punjab,Amritsar,1051,158,100,99.4,78.3,72.8
PB,Punjab,Barnala,970,173,98.9,99.9,85.5,54.4
PB,Punjab,Bathinda,1033,176,96.7,99.5,85,62.7
PB,Punjab,Faridkot,1026,167,97.3,98.9,83.7,64.2
PB,Punjab,Fatehgarh Sahib,864,132,99.5,100,83,69.4
PB,Punjab,Firozpur,1022,155,96.8,99.7,77.1,49.6
PB,Punjab,Gurdaspur,941,162,99.6,99.6,74.7,69.8
PB,Punjab,Hoshiarpur,925,121,99.8,99.8,76.2,62.7
PB,Punjab,Jalandhar,986,142,99.8,99.8,89.2,78.7
PB,Punjab,Kapurthala,960,152,98.8,97,81.8,76.1
PB,Punjab,Ludhiana,918,129,100,99.9,80.8,76.8
PB,Punjab,Mansa,1013,163,98.4,99.8,75,40.6
PB,Punjab,Moga,1003,155,99.1,99.4,86.9,55.4
PB,Punjab,Muktsar,975,171,98.7,99.6,79.6,59.3
PB,Punjab,Patiala,1042,178,99.4,99.9,87.5,68.6
PB,Punjab,Rup Nagar,925,117,99.8,100,80.9,67.6
PB,Punjab,Sahibzada Ajit Singh Nagar,880,149,99.4,99.5,79.4,80.7
PB,Punjab,Sahid Bhagat Singh Nagar,881,113,99.9,99.7,81.6,55.1
PB,Punjab,Sangrur,1050,166,98.6,99.5,87.7,51.8
PB,Punjab,Tarn Taran,1019,148,100,99.6,77.9,55.1
PY,Puducherry,Karaikal,922,124,98.1,99.5,69.1,73.1
PY,Puducherry,Mahe,1058,132,89.9,99.7,98.2,86.9
PY,Puducherry,Puducherry,1019,179,95,99.6,62.5,86.9
PY,Puducherry,Yanam,1013,175,95.3,99.5,73.1,92.4
RJ,Rajasthan,Ajmer,2335,314,86.2,98.4,69.4,50.6
RJ,Rajasthan,Alwar,1113,139,97.9,96.9,40.3,24
RJ,Rajasthan,Banswara,1100,153,92,67.9,20.8,12.6
RJ,Rajasthan,Baran,1173,146,91.4,91.7,31.4,25
RJ,Rajasthan,Barmer,963,114,70.1,65.6,20.2,14.7
RJ,Rajasthan,Bharatpur,1077,176,73.7,90.7,34.3,16.2
RJ,Rajasthan,Bhilwara,1011,122,82.6,96,32.7,27.3
RJ,Rajasthan,Bikaner,2456,338,86.2,91.5,64.8,39.7
RJ,Rajasthan,Bundi,985,164,90.8,91.1,26.6,22.8
RJ,Rajasthan,Chittaurgarh,872,145,88.8,95.3,32,25.4
RJ,Rajasthan,Churu,1144,160,83.6,95.3,73.3,30.3
RJ,Rajasthan,Dausa,1097,146,94,90.4,36.1,16.7
RJ,Rajasthan,Dhaulpur,1142,168,91.4,91.4,31.6,20.7
RJ,Rajasthan,Dungarpur,1087,139,90.7,78.7,32.9,16.9
RJ,Rajasthan,Ganganagar,1225,198,92.1,94.1,73.4,39.6
RJ,Rajasthan,Hanumangarh,1122,193,96.6,94.8,55.2,25.1
RJ,Rajasthan,Jaipur,2334,326,93.7,98,58.1,54.6
RJ,Rajasthan,Jaisalmer,1017,144,56.7,76.4,36.8,17.1
RJ,Rajasthan,Jalor,1122,177,79,82.8,39.4,27.1
RJ,Rajasthan,Jhalawar,1038,157,84.5,95,36.1,25.5
RJ,Rajasthan,Jhunjhunun,1234,161,88.3,96.2,66,51
RJ,Rajasthan,Jodhpur,2265,290,76.9,91.3,52.6,44.8
RJ,Rajasthan,Karauli,1100,167,86.2,94.3,21.1,14
RJ,Rajasthan,Kota,2156,351,96.9,98.1,50.5,60
RJ,Rajasthan,Nagaur,1167,168,66.1,90.6,53.8,24.4
RJ,Rajasthan,Pali,1061,123,80.3,95.1,50.9,40.8
RJ,Rajasthan,Pratapgarh,1063,148,83.1,75.3,15.1,13.6
RJ,Rajasthan,Rajsamand,1060,138,80.7,95.2,32.3,25.1
RJ,Rajasthan,Sawai Madhopur,1115,155,85.2,86.4,34.6,17.9
RJ,Rajasthan,Sikar,1261,158,90.9,96,61.2,42.8
RJ,Rajasthan,Sirohi,996,148,90.3,87.2,42,40
RJ,Rajasthan,Tonk,1084,136,90.2,96.7,32.6,21.5
RJ,Rajasthan,Udaipur,990,130,77.9,84.2,29.2,24.2
SK,Sikkim,East,2028,345,98.2,99.1,83.6,70.7
SK,Sikkim,North,1049,186,98.2,99.6,89.3,48.8
SK,Sikkim,South,1091,47,99.6,99.8,93.4,52.5
SK,Sikkim,West,1125,223,94,99.6,93,41.4
TG,Telangana,Adilabad,764,107,85,96.5,30.7,40.4
TG,Telangana,Hyderabad,830,109,90.5,100,73.2,91.6
TG,Telangana,Karimnagar,728,99,69.9,98.8,53.9,70.7
TG,Telangana,Khammam,778,109,84.5,97.2,50.3,70
TG,Telangana,Mahbubnagar,757,104,71,97.8,32.8,47.1
TG,Telangana,Medak,743,107,85.2,97.5,53.3,48.7
TG,Telangana,Nalgonda,723,108,54.4,97.3,50.1,60.3
TG,Telangana,Nizamabad,752,83,82.3,97.7,42.3,56.9
TG,Telangana,Rangareddy,762,118,80.7,99.5,51.2,84.4
TG,Telangana,Warangal,730,110,73.3,97.4,46.9,60.8
TN,Tamil Nadu,Ariyalur,806,133,96.6,98.3,28.1,44.7
TN,Tamil Nadu,Chennai,928,126,77.4,99.6,82.3,96.7
TN,Tamil Nadu,Coddalore,961,165,97.4,98.9,38.6,52.8
TN,Tamil Nadu,Coimbatore,1009,183,95.7,98.7,57.6,85.1
TN,Tamil Nadu,Dharmapuri,965,172,97.2,98.4,37.7,71.8
TN,Tamil Nadu,Dindigul,995,173,96.4,97.1,42.6,66.2
TN,Tamil Nadu,Erode,1003,163,97.5,98.4,61.1,87.4
TN,Tamil Nadu,Kancheepuram,958,175,78.6,99.7,68,86.7
TN,Tamil Nadu,Kanniyakumari,836,135,91.9,99.3,85.6,59.7
TN,Tamil Nadu,Karur,973,158,96.4,98.7,47.9,77.6
TN,Tamil Nadu,Krishnagiri,1120,200,92,99,43.8,62.4
TN,Tamil Nadu,Madurai,796,131,78.6,98.8,54.4,75.8
TN,Tamil Nadu,Nagapattinam,935,137,91.4,98.4,43.1,58.2
TN,Tamil Nadu,Namakkal,901,169,92.4,99.4,49.6,85.3
TN,Tamil Nadu,Perambalur,912,140,89.1,98.8,37.2,63.8
TN,Tamil Nadu,Pudukkottai,912,126,84.7,97,35.2,38.9
TN,Tamil Nadu,Ramanathapuram,777,99,76.2,98.2,45.4,55
TN,Tamil Nadu,Salem,988,173,93.2,99,46.2,76.6
TN,Tamil Nadu,Sivaganga,876,114,86.9,98.3,47.6,55.7
TN,Tamil Nadu,Thanjavur,868,144,98.6,97,46.9,47.3
TN,Tamil Nadu,The Nilgiris,973,185,94.9,97.2,63,69.9
TN,Tamil Nadu,Theni,792,126,96.2,97.4,47,73.3
TN,Tamil Nadu,Thiruvallur,911,188,85.3,98.9,66.6,86.3
TN,Tamil Nadu,Thiruvarur,887,132,97.8,97,45.2,44.2
TN,Tamil Nadu,Thoothukkudi,761,125,92.7,98.2,50.4,68.2
TN,Tamil Nadu,Tiruchirappalli,785,142,97.2,98.9,46.5,71.1
TN,Tamil Nadu,Tirunelveli,709,110,97.4,99.1,45.8,72.3
TN,Tamil Nadu,Tiruppur,883,170,97.6,99.5,51.6,90.5
TN,Tamil Nadu,Tiruvannamalai,916,151,96.4,98.8,31,63.8
TN,Tamil Nadu,Vellore,954,178,86.6,99.5,53.4,78.2
TN,Tamil Nadu,Viluppuram,992,162,96.2,99.3,32.4,57.5
TN,Tamil Nadu,Virudhunagar,738,110,84,98.6,36.5,73.3
TR,Tripura,Dhalai,968,170,66,88.5,49.5,19.2
TR,Tripura,North Tripura,961,171,64.2,86,46.1,23
TR,Tripura,South Tripura,937,162,91.3,92.3,61,22.1
TR,Tripura,West Tripura,1938,318,97.2,96.1,68.9,42
UP,Uttar Pradesh,Agra,2448,357,71.3,94.5,42.8,46.7
UP,Uttar Pradesh,Aligarh,2477,348,97.8,84.6,38.4,39.6
UP,Uttar Pradesh,Allahabad,1162,142,92.2,78.5,32.7,36.8
UP,Uttar Pradesh,Ambedkar Nagar,1407,172,99.9,72.6,19.8,13.8
UP,Uttar Pradesh,Auraiya,971,113,98.3,67.9,35.6,27.3
UP,Uttar Pradesh,Azamgarh,1303,138,99.5,82.9,24.7,24
UP,Uttar Pradesh,Baghpat,1239,188,99.4,92,64.7,42.7
UP,Uttar Pradesh,Bahraich,1021,130,99.1,31.3,12.9,14.9
UP,Uttar Pradesh,Ballia,1329,156,98.5,69.8,24.1,23.6
UP,Uttar Pradesh,Balrampur,1260,138,98.5,35.8,13.8,9.2
UP,Uttar Pradesh,Banda,789,135,97.8,67.3,27.5,15
UP,Uttar Pradesh,Bara Banki,987,130,99.2,49.7,20.3,27.9
UP,Uttar Pradesh,Bareilly,2506,345,99,69.6,54.3,44.1
UP,Uttar Pradesh,Basti,1243,114,99.8,66.6,16.1,19.6
UP,Uttar Pradesh,Bijnor,1265,173,99.9,79.6,60.4,33.6
UP,Uttar Pradesh,Budaun,1113,164,100,52.4,30.6,22.3
UP,Uttar Pradesh,Bulandshahr,1259,181,99.6,87.9,47.7,31.8
UP,Uttar Pradesh,Chandauli,1328,189,88.9,70.8,27.9,21.8
UP,Uttar Pradesh,Chitrakoot,1089,134,92.2,67.3,15.8,11.6
UP,Uttar Pradesh,Deoria,1289,131,99.5,70.5,24.8,32.9
UP,Uttar Pradesh,Etah,1163,163,99.1,65.9,23.2,24.4
UP,Uttar Pradesh,Etawah,1145,167,98.6,91.3,28.7,26.9
UP,Uttar Pradesh,Faizabad,1202,142,98.7,65.4,24.2,24.5
UP,Uttar Pradesh,Farrukhabad,1159,169,99.9,62.6,30.3,24.6
UP,Uttar Pradesh,Fatehpur,923,124,97.6,45.4,26.6,17.6
UP,Uttar Pradesh,Firozabad,2506,369,96.4,85.5,33.6,36.3
UP,Uttar Pradesh,Gautam Buddha Nagar,2194,347,63.6,98.6,54.5,76.3
UP,Uttar Pradesh,Ghaziabad,2281,344,84.9,97.4,64.8,78.5
UP,Uttar Pradesh,Ghazipur,1223,165,99.1,67.9,19.1,17
UP,Uttar Pradesh,Gonda,1216,123,100,39.6,11.1,19.1
UP,Uttar Pradesh,Gorakhpur,1212,145,99.2,74.8,34.3,39.7
UP,Uttar Pradesh,Hamirpur,871,128,99.1,73.1,45.1,19.7
UP,Uttar Pradesh,Hardoi,1000,128,99.6,42.2,28.3,23.2
UP,Uttar Pradesh,Jalaun,894,119,98.1,89,48.1,33.3
UP,Uttar Pradesh,Jaunpur,1318,145,95.4,78.3,24.1,21.5
UP,Uttar Pradesh,Jhansi,1955,253,96.1,88.9,45.9,40.8
UP,Uttar Pradesh,Jyotiba Phule Nagar,1271,197,99.9,74.8,48.8,31.6
UP,Uttar Pradesh,Kannauj,1134,153,99.7,70.7,22,19.2
UP,Uttar Pradesh,Kanpur Dehat,965,157,98.7,45.5,28.7,17.7
UP,Uttar Pradesh,Kanpur Nagar,1901,309,99.2,85.9,65.2,70.8
UP,Uttar Pradesh,Kanshiram Nagar,1146,145,99.8,54.3,20.8,18.7
UP,Uttar Pradesh,Kaushambi,1026,127,96.8,49,18.7,18.6
UP,Uttar Pradesh,Kheri,1046,143,99.1,41.4,22.5,16.4
UP,Uttar Pradesh,Kushinagar,1360,134,97.6,48.3,22.1,23.9
UP,Uttar Pradesh,Lalitpur,900,134,94.1,78,19.9,18.2
UP,Uttar Pradesh,Lucknow,1862,251,98.9,93.5,66.9,76.1
UP,Uttar Pradesh,Mahamaya Nagar,1135,150,96.3,86.3,30.5,30.2
UP,Uttar Pradesh,Maharajganj,1346,111,99.3,51.7,19.4,18.1
UP,Uttar Pradesh,Mahoba,908,98,93.4,79.2,35.5,16.7
UP,Uttar Pradesh,Mainpuri,1137,181,99.3,81.9,27.3,24.4
UP,Uttar Pradesh,Mathura,1220,165,84.2,95.6,43,32.7
UP,Uttar Pradesh,Mau,1359,153,99.5,82.9,26.6,20.7
UP,Uttar Pradesh,Meerut,3334,433,99.5,95.9,67.1,64.1
UP,Uttar Pradesh,Mirzapur,1113,156,88.1,68.3,23.3,17.7
UP,Uttar Pradesh,Moradabad,2487,363,99.6,79,51.6,44.5
UP,Uttar Pradesh,Muzaffarnagar,1251,159,99.6,93.4,54.5,39.2
UP,Uttar Pradesh,Pilibhit,1152,190,99.5,51.7,37,27.6
UP,Uttar Pradesh,Pratapgarh,1216,119,92.5,71.3,15.8,23.5
UP,Uttar Pradesh,Rae Bareli,1123,180,98.4,71.6,18.4,22.7
UP,Uttar Pradesh,Rampur,1312,180,99.8,80.8,52.6,31.7
UP,Uttar Pradesh,Saharanpur,2487,341,99.3,93.4,51,37.6
UP,Uttar Pradesh,Sant Kabir Nagar,1349,127,99.7,63.1,15.2,18
UP,Uttar Pradesh,Sant Ravidas Nagar,1317,159,86.4,80.1,20.6,25.4
UP,Uttar Pradesh,Shahjahanpur,1064,155,99.8,53.2,33.4,26
UP,Uttar Pradesh,Shrawasti,1055,111,98,25.6,10.4,9.2
UP,Uttar Pradesh,Siddharthnagar,1236,120,99.7,61.9,14.9,19.2
UP,Uttar Pradesh,Sitapur,985,136,98.7,29.9,16.7,19
UP,Uttar Pradesh,Sonbhadra,1027,147,87.5,52.4,23.7,20.3
UP,Uttar Pradesh,Sultanpur,1151,126,95.3,75,16.7,16.8
UP,Uttar Pradesh,Unnao,1097,151,97.7,45,28.3,22.9
UP,Uttar Pradesh,Varanasi,2442,369,96,88.4,48.8,48.6
UT,Uttaranchal,Almora,931,76,83.9,96.4,65,26.6
UT,Uttaranchal,Bageshwar,1072,107,83,97.5,67.4,23
UT,Uttaranchal,Chamoli,849,85,93.2,95.5,62.4,34.8
UT,Uttaranchal,Champawat,996,101,89.5,91.7,59.5,30.4
UT,Uttaranchal,Dehradun,2032,231,99.5,99.4,75.6,84.9
UT,Uttaranchal,Garhwal,939,122,88.1,98.1,66.2,35.4
UT,Uttaranchal,Hardwar,2321,308,99.1,97.8,56.9,46.2
UT,Uttaranchal,Nainital,2170,264,95.9,98.6,73,62.8
UT,Uttaranchal,Pithoragarh,862,94,83.9,97.3,62.7,36.8
UT,Uttaranchal,Rudraprayag,905,84,86.5,98.8,67.6,32.5
UT,Uttaranchal,Tehri Garhwal,984,93,77.4,98.1,65.8,35.1
UT,Uttaranchal,Udham Singh Nagar,2245,290,97.6,96.1,56.2,52.6
UT,Uttaranchal,Uttarkashi,994,139,75.1,93.1,48.5,28.2
WB,West Bengal,Bankura,939,143,96.4,89.4,29.5,16.3
WB,West Bengal,Barddhaman,986,134,96.6,94.4,46.6,29.7
WB,West Bengal,Birbhum,950,149,97.4,96,28,15.5
WB,West Bengal,Dakshin Dinajpur,867,132,99.4,93.1,43.9,12.6
WB,West Bengal,Darjiling,928,125,71,95.4,61,56.3
WB,West Bengal,Haora,930,126,96.5,97.8,60,47.2
WB,West Bengal,Hugli,871,99,98.5,95.2,54.6,30.8
WB,West Bengal,Jalpaiguri,899,124,85.2,89.9,49.2,27
WB,West Bengal,Koch Bihar,886,126,97.9,90,49.6,13.7
WB,West Bengal,Kolkata,803,95,96.2,99.8,50.2,69.6
WB,West Bengal,Maldah,911,129,82.9,94.1,44,15.8
WB,West Bengal,Murshidabad,1006,145,97.5,92.5,50.6,19.2
WB,West Bengal,Nadia,928,143,95,95.6,68.5,28.2
WB,West Bengal,North Twenty Four Parganas,872,107,92,97,69,50.7
WB,West Bengal,Paschim Medinipur,1013,114,96.5,95.7,40.9,13.9
WB,West Bengal,Purba Medinipur,925,140,98.9,97.5,66.9,10.9
WB,West Bengal,Puruliya,1012,133,82.7,79.3,12.3,6.8
WB,West Bengal,South Twenty Four Parganas,930,106,97.7,87.4,51.7,19.3
WB,West Bengal,Uttar Dinajpur,1012,132,97.5,90,31.8,12.3
